award_id,award_fixed_id,code,name,award_operative_from,award_operative_to,version_number,last_modified_datetime,published_year
1516,76,MA000076,Educational Services (Schools) General Staff Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1517,77,MA000077,Educational Services (Teachers) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1518,78,MA000078,Book Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1519,79,MA000079,Architects Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1520,80,MA000080,"Amusement, Events and Recreation Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1521,81,MA000081,Live Performance Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1522,82,MA000082,Sporting Organisations Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1523,83,MA000083,Commercial Sales Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1524,84,MA000084,Storage Services and Wholesale Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1525,85,MA000085,Dredging Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1526,86,MA000086,Maritime Offshore Oil and Gas Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1527,87,MA000087,Sugar Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1528,88,MA000088,Electrical Power Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1529,89,MA000089,"Vehicle Repair, Services and Retail Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1530,90,MA000090,Wine Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1531,91,MA000091,"Broadcasting, Recorded Entertainment and Cinemas Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1532,92,MA000092,Alpine Resorts Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1533,93,MA000093,Marine Tourism and Charter Vessels Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1534,94,MA000094,Fitness Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1535,95,MA000095,Car Parking Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1536,96,MA000096,Dry Cleaning and Laundry Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1537,97,MA000097,Pest Control Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1538,98,MA000098,Ambulance and Patient Transport Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1539,99,MA000099,Labour Market Assistance Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1540,100,MA000100,"Social, Community, Home Care and Disability Services Industry Award 2010",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1541,101,MA000101,Gardening and Landscaping Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1542,102,MA000102,Travelling Shows Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1543,103,MA000103,Supported Employment Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1544,104,MA000104,Miscellaneous Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1545,105,MA000105,Funeral Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1546,106,MA000106,Real Estate Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1547,107,MA000107,Salt Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1548,108,MA000108,Professional Diving Industry (Industrial) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1549,109,MA000109,Professional Diving Industry (Recreational) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1550,110,MA000110,Corrections and Detention (Private Sector) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1551,111,MA000111,Fire Fighting Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1552,112,MA000112,Local Government Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1553,113,MA000113,Water Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1554,114,MA000114,Aquaculture Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1555,115,MA000115,Aboriginal and Torres Strait Islander Health Workers and Practitioners and Aboriginal Community Controlled Health Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1556,116,MA000116,Legal Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1557,117,MA000117,Mannequins and Models Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1558,118,MA000118,Animal Care and Veterinary Services Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1559,119,MA000119,Restaurant Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1560,120,MA000120,Children's Services Award 2010,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1561,121,MA000121,State Government Agencies Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1562,122,MA000122,Seagoing Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
1563,123,MA000123,Telstra Award 2015,2015-02-09,,3,2023-06-02T10:39:15+00:00,2023
1564,124,MA000124,Australian Public Service Enterprise Award 2015,2015-05-14,,2,2023-06-02T10:39:15+00:00,2023
1565,125,MA000125,Nurses and Midwives (Victoria) State Reference Public Sector Award 2015,2015-06-02,,2,2023-06-02T10:39:15+00:00,2023
1566,126,MA000126,Printing Industry – Herald & Weekly Times – Production Award 2015,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
1567,127,MA000127,Chullora Printing Award 2015 ,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
1568,128,MA000128,Queensland Newspapers Pty Ltd Printing (Murarrie) Award 2015,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
1569,129,MA000129,Northern Territory News Award 2015  ,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
1570,130,MA000130,Metropolitan Newspapers (South Australia and Tasmania) Printing Award 2015,2015-05-15,,2,2023-06-02T10:39:15+00:00,2023
1571,131,MA000131,Nurses (ANMF - Victorian Local Government) Award 2015,2015-07-20,,2,2023-06-02T10:39:15+00:00,2023
1572,132,MA000132,Victorian Local Government Award 2015,2015-07-20,,2,2023-06-02T10:39:15+00:00,2023
1573,133,MA000133,Optus Award 2015,2015-07-17,,2,2023-06-02T10:39:15+00:00,2023
1574,134,MA000134,Victorian State Government Agencies Award 2015,2015-08-06,,2,2023-06-02T10:39:15+00:00,2023
1575,135,MA000135,Victorian Public Service Award 2016,2016-10-03,,2,2023-06-02T10:39:15+00:00,2023
1576,136,MA000136,"Viterra Bulk Handling and Storage of Grains, Pulses and Minerals Award 2015",2015-12-14,,2,2023-06-02T10:39:15+00:00,2023
1577,137,MA000137,Australia Post Enterprise Award 2015,2015-09-17,,2,2023-06-02T10:39:15+00:00,2023
1578,138,MA000138,GrainCorp Country Operations Award 2015 ,2015-12-14,,2,2023-06-02T10:39:15+00:00,2023
1579,139,MA000139,Aboriginal Legal Rights Movement Award 2016,2016-05-16,,2,2023-06-02T10:39:15+00:00,2023
1580,140,MA000140,Reserve Bank of Australia Award 2016,2016-05-23,,2,2023-06-02T10:39:15+00:00,2023
1581,141,MA000141,Airservices Australia Enterprise Award 2016,2016-05-30,,2,2023-06-02T10:39:15+00:00,2023
1582,142,MA000142,Australian Federal Police Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
1583,143,MA000143,Australian Bureau of Statistics (Interviewers) Enterprise Award 2016,2016-07-21,,2,2023-06-02T10:39:15+00:00,2023
1584,144,MA000144,Australian Nuclear Science and Technology Organisation (ANSTO) Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
1585,145,MA000145,Parliamentary Departments Staff Enterprise Award 2016,2016-05-30,,2,2023-06-02T10:39:15+00:00,2023
1586,146,MA000146,Australian Capital Territory Public Sector Enterprise Award 2016,2016-06-06,,2,2023-06-02T10:39:15+00:00,2023
1587,147,MA000147,Australian Broadcasting Corporation Enterprise Award 2016,2016-08-24,,2,2023-06-02T10:39:15+00:00,2023
1588,148,MA000148,CSIRO Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
1589,149,MA000149,Christmas Island Administration Enterprise Award 2016,2016-05-23,,2,2023-06-02T10:39:15+00:00,2023
1590,150,MA000150,Victorian Local Government  (Early Childhood Education Employees) Award 2016,2016-07-18,,2,2023-06-02T10:39:15+00:00,2023
1591,151,MA000151,Northern Territory Public Sector Enterprise Award 2016,2016-08-19,,2,2023-06-02T10:39:15+00:00,2023
1592,152,MA000152,Victorian Government Schools—Early Childhood—Award 2016,2016-08-15,,2,2023-06-02T10:39:15+00:00,2023
1593,153,MA000153,Australian Government Industry Award 2016,2016-08-15,,2,2023-06-02T10:39:15+00:00,2023
1594,154,MA000155,Victorian Government Schools Award 2016,2016-08-15,,2,2023-06-02T10:39:15+00:00,2023
1595,155,MA000156,Note Printing Australia Award 2016,2016-11-07,,2,2023-06-02T10:39:15+00:00,2023
1596,156,MA000157,"Health Professionals, Medical Scientists and Support Services (Victoria) State Reference Public Sector Modern Award 2018",2020-11-11,,2,2023-06-02T10:39:15+00:00,2023
