,award_id,award_fixed_id,code,name,award_operative_from,award_operative_to,version_number,last_modified_datetime,published_year
54,1495,55,MA000055,"Cement, Lime and Quarrying Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
55,1496,56,MA000056,Concrete Products Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
56,1497,57,MA000057,Premixed Concrete Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
57,1498,58,MA000058,Registered and Licensed Clubs Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
58,1499,59,MA000059,Meat Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
59,1500,60,MA000060,Aluminium Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
60,1501,61,MA000061,Gas Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
61,1502,62,MA000062,Hydrocarbons Industry (Upstream) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
62,1503,63,MA000063,Passenger Vehicle Transportation Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
63,1504,64,MA000064,Hydrocarbons Field Geologists Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
64,1505,65,MA000065,Professional Employees Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
65,1506,66,MA000066,Surveying Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
66,1507,67,MA000067,Journalists Published Media Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
67,1508,68,MA000068,Seafood Processing Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
68,1509,69,MA000069,Pharmaceutical Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
69,1510,70,MA000070,Cemetery Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
70,1511,71,MA000071,Timber Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
71,1512,72,MA000072,Oil Refining and Manufacturing Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
72,1513,73,MA000073,"Food, Beverage and Tobacco Manufacturing Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
73,1514,74,MA000074,Poultry Processing Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
74,1515,75,MA000075,Educational Services (Post-Secondary Education) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
75,1516,76,MA000076,Educational Services (Schools) General Staff Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
76,1517,77,MA000077,Educational Services (Teachers) Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
77,1518,78,MA000078,Book Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
78,1519,79,MA000079,Architects Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
79,1520,80,MA000080,"Amusement, Events and Recreation Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
80,1521,81,MA000081,Live Performance Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
81,1522,82,MA000082,Sporting Organisations Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
82,1523,83,MA000083,Commercial Sales Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
83,1524,84,MA000084,Storage Services and Wholesale Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
84,1525,85,MA000085,Dredging Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
85,1526,86,MA000086,Maritime Offshore Oil and Gas Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
86,1527,87,MA000087,Sugar Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
87,1528,88,MA000088,Electrical Power Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
88,1529,89,MA000089,"Vehicle Repair, Services and Retail Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
89,1530,90,MA000090,Wine Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
90,1531,91,MA000091,"Broadcasting, Recorded Entertainment and Cinemas Award 2020",2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
91,1532,92,MA000092,Alpine Resorts Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
92,1533,93,MA000093,Marine Tourism and Charter Vessels Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
93,1534,94,MA000094,Fitness Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
94,1535,95,MA000095,Car Parking Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
95,1536,96,MA000096,Dry Cleaning and Laundry Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
96,1537,97,MA000097,Pest Control Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
97,1538,98,MA000098,Ambulance and Patient Transport Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
98,1539,99,MA000099,Labour Market Assistance Industry Award 2020,2010-01-01,,2,2023-06-02T10:39:15+00:00,2023
